3, Female, Maharashtra, 6635177378, 161.86 cm, 68.09 kg
64, Male, Karnataka, 8837714888, 149.34 cm, 64.08 kg
79, Female, Nagaland, 9346727473, 160.29 cm, 72.8 kg
2, Male, Gujarat, 7234271778, 161.44 cm, 80.24 kg
69, Female, Maharashtra, 9266385254, 147.57 cm, 68.52 kg
11, Male, Assam, 9116153266, 161.14 cm, 77.1 kg
63, Male, Sikkim, 8135418246, 148.05 cm, 66.13 kg
75, Female, Meghalaya, 6286155288, 157.21 cm, 70.69 kg
30, Female, Bihar, 8767558881, 163.25 cm, 69.11 kg
40, Male, Punjab, 7535653664, 160.32 cm, 81.18 kg
5, Female, Tripura, 6127183243, 151.29 cm, 66.68 kg
62, Female, Andhra Pradesh, 6464678346, 147.49 cm, 73.8 kg
48, Female, Tripura, 9146252344, 155.35 cm, 79.23 kg
93, Male, Manipur, 8772787364, 157.42 cm, 75.4 kg
14, Male, Tamil Nadu, 7228215152, 145.12 cm, 76.39 kg
47, Male, Tripura, 9827168676, 164.71 cm, 73.19 kg
78, Female, Nagaland, 9827432651, 162.91 cm, 67.4 kg
6, Female, Maharashtra, 7865317577, 163.44 cm, 76.89 kg
92, Female, Meghalaya, 8417618226, 143.44 cm, 67.14 kg
35, Male, Bihar, 6441285785, 166.88 cm, 60.88 kg
24, Female, Sikkim, 7727787712, 166.45 cm, 73.8 kg
54, Female, Uttarakhand, 8668612365, 138.94 cm, 63.91 kg
51, Female, Assam, 7878385234, 179.28 cm, 65.27 kg
70, Male, Manipur, 9853638334, 146.85 cm, 75.3 kg
71, Male, Maharashtra, 7442263751, 152.63 cm, 62.51 kg
84, Female, Gujarat, 6374727112, 153.49 cm, 72.32 kg
95, Male, Chhattisgarh, 8531565411, 164.58 cm, 81.57 kg
61, Female, Andhra Pradesh, 6458541288, 161.51 cm, 66.97 kg
26, Male, Sikkim, 9216572846, 181.8 cm, 72.63 kg
64, Male, Mizoram, 6483178118, 165.8 cm, 73.9 kg
4, Female, Himachal Pradesh, 8715476774, 157.81 cm, 73.68 kg
5, Female, Telangana, 8385326638, 146.37 cm, 76.07 kg
2, Female, Bihar, 8434514156, 153.36 cm, 69.25 kg
9, Male, Assam, 7523168785, 135.98 cm, 73.25 kg
4, Male, Bihar, 9376137587, 149.68 cm, 65.73 kg
